ticker,date,open,close,high,low,volume,gap_pct,rc_result,net_pl
CHEK,2021-01-04,0.722,1.45,1.65,0.667,17828570,100.83,Win,28625.95
MBAI,2021-01-04,0.722,1.45,1.65,0.667,17828570,100.83,Win,28625.95
ATLXD,2021-01-04,1.05,1.95,3.675,1.05,1252828,85.71,Win,28625.95
ASXC,2021-01-04,0.68,1.17,1.2,0.65,75714700,72.06,Win,28625.95
TRXC,2021-01-04,0.68,1.17,1.2,0.6499,75776936,72.06,Win,28625.95
VRAY,2021-01-04,4.07,6.41,6.95,4.064,21446756,57.49,Win,28625.95
VRAYQ,2021-01-04,4.07,6.41,6.95,4.064,21153218,57.49,Win,28625.95
PAND,2021-01-04,14.75,21.94,23.46,14.75,564844,48.75,Win,28625.95
ISIG,2021-01-04,4.95,7.31,10.41,4.76,2187300,47.68,Win,28625.95
LDWY,2021-01-04,4.95,7.31,10.41,4.76,2137100,47.68,Win,28625.95
TULP,2021-01-04,4.95,7.31,10.41,4.76,2137100,47.68,Win,28625.95
BNGO,2021-01-04,5.21,7.2,7.24,4.51,973164,38.2,Win,28625.95
EYPT,2021-01-04,6.9,9.01,9.3615,6.87,1314861,30.58,Win,28625.95
UUU,2021-01-04,4.92,6.16,7,4.73,992100,25.2,Win,28625.95
CNPOF,2021-01-04,0.892,1.0872,1.14,0.892,728551,21.88,Win,28625.95
NOVN,2021-01-04,0.89,1.08,1.18,0.8201,90501624,21.35,Win,28625.95
NOVNQ,2021-01-04,0.89,1.08,1.18,0.8201,9024301,21.35,Win,28625.95
BTU,2021-01-04,2.46,2.94,2.96,2.45,5765985,19.51,Win,28625.95
EYES,2021-01-04,1.9691,2.35,2.35,1.93,1141155,19.34,Win,28625.95
GENE,2021-01-04,3.79,4.5,4.55,3.75,881600,18.73,Win,28625.95
MXC,2021-01-05,5.56,10.45,12.9,5.56,2371700,87.95,Win,24668.81
BBI,2021-01-05,0.8592,1.22,1.25,0.84,28362913,41.99,Win,24668.81
NCTY,2021-01-05,6.33,8.56,10.1,5.96,2665490,35.23,Win,24668.81
ENSV,2021-01-05,1.9,2.45,2.57,1.8616,9746911,28.95,Win,24668.81
LTBR,2021-01-05,4.21,5.39,5.6,4.21,1052024,28.03,Win,24668.81
MARA,2021-01-05,10.7,13.59,14.3,10.69,61984100,27.01,Win,24668.81
VGFC,2021-01-05,4.54,5.71,5.75,4.53,748891,25.77,Win,24668.81
VGFCQ,2021-01-05,4.54,5.71,5.75,4.53,748891,25.77,Win,24668.81
VRYYF,2021-01-05,4.54,5.71,5.75,4.53,748891,25.77,Win,24668.81
BIDS,2021-01-05,8.25,10.2,10.2,8,18245824,23.64,Win,24668.81
TGC,2021-01-05,1.17,1.44,1.48,1.15,1479437,23.08,Win,24668.81
GBR,2021-01-05,1.79,2.2,2.28,1.79,794499,22.91,Win,24668.81
NMTR,2021-01-05,17.6,21.4,22,16.8,994859.05,21.59,Win,24668.81
NMTRQ,2021-01-05,0.88,1.07,1.1,0.84,994859,21.59,Win,24668.81
EH,2021-01-05,21.18,25.5,25.5,21.02,2294000,20.4,Win,24668.81
ATOS,2021-01-05,0.9499,1.14,1.21,0.9499,1519342.73,20.01,Win,24668.81
VERU,2021-01-05,7.9229,9.49,9.7,7.7695,1171902,19.78,Win,24668.81
CENN,2021-01-05,3.442,4.12,4.7,2.75,586914,19.7,Win,24668.81
RESN,2021-01-05,3.11,3.72,4.15,3.02,8199925,19.61,Win,24668.81
HTGM,2021-01-05,5.12,6.1,6.68,5.001,1410268,19.14,Win,24668.81
UONE,2021-01-06,4.46,8.87,8.87,4.46,1622250,98.88,Win,12273.43
BTCS,2021-01-06,2.5,3.98,4.7,2.475,1187893,59.2,Win,12273.43
